Response,Model,R2,RMSE,MAE,MAPE_pct
Deflection,RSM,0.9963355540738875,2.8258314851259355e-06,2.127926857959718e-06,0.5239652673710811
Deflection,SK,0.998204322136766,1.9781367680230564e-06,1.4326870942945604e-06,0.34917033272849507
Deflection,ARD-UK,0.9931974857115259,3.85014275301434e-06,2.8641179621176215e-06,0.7157398424121197
Deflection,FBW-UK,0.9666101128448017,8.530010712968352e-06,6.429371009223162e-06,1.5778848136530064
Stress,RSM,0.8964369558990972,9920821.1537983,7695316.629471087,3.2099793932741094
Stress,SK,0.8833869141093456,10527345.122392664,8009602.725160034,3.3459559147046147
Stress,ARD-UK,0.752546247006971,15335298.688468097,12521300.339556541,5.190008713329716
Stress,FBW-UK,0.9417104820572364,7442870.25927684,5742415.082776182,2.4201529935608774
Mass,RSM,0.9982395574927819,0.010816715667244388,0.008228673806900283,0.704273012381328
Mass,SK,0.997951472197458,0.01166824184039944,0.007234084886029959,0.6190807526641913
Mass,ARD-UK,0.9987189440883352,0.009227170234170648,0.005212012139420639,0.45018065021938314
Mass,FBW-UK,0.9987194823184613,0.009225231652602773,0.005206741306189374,0.44977126961126257
